episode_reward,episode_length,episode_kills,episode_accuracy,ammo_collected,health_remaining
494.02,1000,,,,
493.29525,1000,,,,
451.740375,1000,,,,
515.37,1000,,,,
355.51875,926,,,,
574.29,1000,,,,
313.553525,854,,,,
301.604775,782,,,,
506.15,1000,,,,
486.401875,1000,,,,
449.3,1000,,,,
401.663125,1000,,,,
306.146,965,,,,
583.95,1000,,,,
529.94,1000,,,,
291.50025,930,,,,
518.02,1000,,,,
510.59,1000,,,,
295.51445,883,,,,
352.35375,800,,,,
320.697625,846,,,,
485.429875,1000,,,,
510.97,1000,,,,
330.9744,854,,,,
577.56,1000,,,,
459.5,1000,,,,
289.939125,910,,,,
260.012025,827,,,,
458.58,1000,,,,
486.9,1000,,,,
339.815025,979,,,,
526.396875,1000,,,,
490.08,1000,,,,
275.359625,866,,,,
321.366125,950,,,,
550.69,1000,,,,
292.498275,814,,,,
542.35,1000,,,,
261.57665,872,,,,
486.87,1000,,,,
367.550825,953,,,,
359.731625,1000,,,,
464.98,1000,,,,
513.92,1000,,,,
345.943875,951,,,,
440.78425,1000,,,,
298.4532,903,,,,
580.53,1000,,,,
488.37,1000,,,,
494.26625,1000,,,,
439.387375,1000,,,,
521.69,1000,,,,
491.45,1000,,,,
450.9025,1000,,,,
521.1,1000,,,,
302.124375,880,,,,
161.319025,699,,,,
459.22,1000,,,,
517.14,1000,,,,
515.8,1000,,,,
357.76175,850,,,,
483.44,1000,,,,
334.68175,840,,,,
580.99,1000,,,,
501.24,1000,,,,
529.08,1000,,,,
585.15,1000,,,,
438.353875,1000,,,,
517.95,1000,,,,
342.493375,825,,,,
438.347,1000,,,,
486.13,1000,,,,
558.19,1000,,,,
302.529075,868,,,,
476.01,1000,,,,
441.73875,1000,,,,
456.445625,1000,,,,
508.82,1000,,,,
477.84,1000,,,,
554.68,1000,,,,
300.4485,980,,,,
459.73,1000,,,,
559.72,1000,,,,
526.77,1000,,,,
554.09,1000,,,,
527.1,1000,,,,
491.171875,1000,,,,
499.35,1000,,,,
475.88,1000,,,,
376.624375,900,,,,
659.12,1000,,,,
585.86,1000,,,,
587.17,1000,,,,
605.06,1000,,,,
512.54,1000,,,,
535.1,1000,,,,
563.52,1000,,,,
516.39,1000,,,,
464.187875,1000,,,,
487.91,1000,,,,
567.59,1000,,,,
506.86175,1000,,,,
554.891375,1000,,,,
690.53,1000,,,,
253.335125,511,,,,
607.01,1000,,,,
509.91975,1000,,,,
604.33,1000,,,,
597.06,1000,,,,
577.16,1000,,,,
621.95,1000,,,,
638.02,1000,,,,
592.92,1000,,,,
671.08,1000,,,,
647.37,1000,,,,
587.69,1000,,,,
640.39,1000,,,,
623.77,1000,,,,
581.56,1000,,,,
516.472875,1000,,,,
380.41765,962,,,,
294.8607,703,,,,
409.37175,995,,,,
454.06,1000,,,,
543.53,1000,,,,
570.79,1000,,,,
602.53,1000,,,,
636.36,1000,,,,
589.27,1000,,,,
566.25,1000,,,,
568.13975,1000,,,,
690.37,1000,,,,
616.07,1000,,,,
593.34,1000,,,,
212.9489,682,,,,
491.60675,1000,,,,
653.01,1000,,,,
574.94,1000,,,,
606.85,1000,,,,
521.41,1000,,,,
592.77,1000,,,,
609.52,1000,,,,
463.427875,1000,,,,
652.69,1000,,,,
541.482125,1000,,,,
400.895625,906,,,,
210.66445,698,,,,
583.0,1000,,,,
59.51825,320,,,,
738.1085,1000,,,,
368.0629,644,,,,
432.647875,720,,,,
127.2205,381,,,,
158.1109,432,,,,
51.812875,290,,,,
80.063525,497,,,,
74.8404,334,,,,
119.611625,385,,,,
586.144,1000,,,,
53.752625,290,,,,
89.6294,384,,,,
541.908125,1000,,,,
536.916375,1000,,,,
565.8135,1000,,,,
588.216875,1000,,,,
507.313,1000,,,,
454.53625,1000,,,,
794.97,1000,,,,
652.94,1000,,,,
676.64,1000,,,,
109.96765,362,,,,
130.29715,562,,,,
664.35,1000,,,,
444.722,1000,,,,
531.617625,1000,,,,
743.26,1000,,,,
533.055375,1000,,,,
548.075625,1000,,,,
654.94,1000,,,,
582.0,1000,,,,
558.62,1000,,,,
559.479,1000,,,,
526.94225,1000,,,,
713.8,1000,,,,
621.389875,1000,,,,
724.360125,1000,,,,
711.94,1000,,,,
129.303575,453,,,,
589.89,1000,,,,
648.41,1000,,,,
160.835075,498,,,,
688.64,1000,,,,
466.066625,925,,,,
511.99,1000,,,,
631.0,1000,,,,
168.0715,581,,,,
657.78,1000,,,,
625.65,1000,,,,
567.45,1000,,,,
706.0625,1000,,,,
353.888075,853,,,,
622.61,1000,,,,
615.46,1000,,,,
484.73975,1000,,,,
419.957575,933,,,,
211.3679,654,,,,
