episode_reward,episode_length,episode_kills,episode_accuracy,ammo_collected,health_remaining
327.8999,864,,,,
457.393875,1000,,,,
754.49,1000,,,,
481.790375,1000,,,,
670.44,1000,,,,
587.09,1000,,,,
516.23,1000,,,,
476.33,1000,,,,
560.5,1000,,,,
557.47,1000,,,,
543.22,1000,,,,
578.56,1000,,,,
589.4,1000,,,,
628.92,1000,,,,
679.79,1000,,,,
588.57,1000,,,,
611.01,1000,,,,
747.965125,1000,,,,
634.82,1000,,,,
199.290025,482,,,,
755.39,1000,,,,
568.21,1000,,,,
585.67825,1000,,,,
675.45,1000,,,,
670.59,1000,,,,
616.96,1000,,,,
615.71,1000,,,,
234.794025,512,,,,
656.04,1000,,,,
611.18,1000,,,,
363.175275,927,,,,
654.23,1000,,,,
623.68,1000,,,,
653.55,1000,,,,
675.383625,1000,,,,
575.54,1000,,,,
555.6755,1000,,,,
72.063775,334,,,,
98.58565,372,,,,
166.845275,444,,,,
114.693375,351,,,,
560.57,1000,,,,
205.126625,471,,,,
209.201,820,,,,
225.673575,483,,,,
117.03095,383,,,,
611.759,1000,,,,
587.21,1000,,,,
75.779525,339,,,,
250.831775,564,,,,
233.6024,524,,,,
366.6235,1000,,,,
64.947575,278,,,,
197.1029,489,,,,
588.914,1000,,,,
190.443375,441,,,,
326.842025,564,,,,
239.097025,509,,,,
265.8752,548,,,,
102.09715,357,,,,
480.354075,988,,,,
617.63,1000,,,,
179.583575,433,,,,
195.7075,565,,,,
637.94,1000,,,,
544.45225,975,,,,
224.511875,596,,,,
626.190125,1000,,,,
547.520625,1000,,,,
589.32,1000,,,,
