#{"t_start": 1760803099.015756, "env_id": "None"}
r,l,t
235.644038,463,38.633301
275.156016,473,40.368102
200.597974,426,41.783019
316.80052,600,43.95163
124.73946,396,45.605313
153.172984,400,122.705286
132.908104,345,123.774699
177.383082,534,125.437395
176.625084,469,127.000287
54.918232,320,127.845237
179.30016,401,198.433169
178.485016,528,199.916719
429.964766,794,202.150113
127.556856,352,203.267906
81.534746,326,204.391588
452.213608,729,241.675092
96.678694,391,242.599525
333.711372,612,244.205075
368.541812,820,246.287164
546.860408,1000,249.091768
159.506614,538,250.623044
276.805276,549,252.210986
379.416756,700,254.321457
236.877622,770,256.551439
685.028696,1000,259.237455
291.308272,633,260.650602
209.690076,516,262.005664
277.264018,555,263.574894
617.677296,1000,266.048639
171.700744,608,267.730666
177.774098,379,268.790332
166.06357,483,270.209436
198.654544,673,272.14
97.563306,371,272.983099
151.10269,518,274.370886
