#{"t_start": 1760794307.222304, "env_id": "None"}
r,l,t
79.84945,353,59.786719
50.49345,448,62.023781
58.825525,467,65.025853
49.97325,370,67.468055
60.11365,429,73.217775
67.2852,423,191.28696
80.316775,342,192.414305
275.361125,655,194.447073
136.9499,444,195.753406
166.89765,542,197.464288
197.100125,641,284.660474
385.540625,875,289.638932
121.032125,456,291.777512
195.38215,532,294.053799
194.543825,478,297.39291.50-3.183175,283,380.163789
77.7225,405,382.011392
100.556375,420,383.42446
58.894775,349,384.44835
60.02145,358,385.570949
-9.0041,354,439.312968
-2.843125,300,439.975017
21.68945,313,440.84006
62.814275,389,441.905772
37.338025,359,442.76819
11.2874,324,494.800248
8.608125,350,495.833529
-10.410225,329,496.902905
37.720525,334,497.943158
-1.7125,290,498.754806
26.99995,318,574.08126
21.997025,299,574.880695
75.953875,531,576.394823
9.900275,427,578.489072
7.79265,309,580.845604
-1.269425,308,648.466927
-10.92275,275,649.361645
58.5695,416,650.638386
36.73165,327,651.683336
19.947375,366,652.791572
121.900775,427,721.334838
171.8074,477,723.765148
24.16925,300,724.795844
158.3254,427,726.248006
161.235375,446,727.973771
60.634875,371,797.083427
-6.210225,292,798.158689
25.880075,313,799.067074
5.246375,285,799.868798
-30.80225,255,800.749284
78.537,481,857.16819
25.611,420,858.284766
-5.382375,325,859.109636
93.8735,415,860.259821
30.487525,334,861.279269
156.0609,442,915.849035
-6.926125,336,916.844803
-5.7265,295,917.542622
49.829575,328,918.349666
101.816,511,919.785996
25.23875,290,985.892855
318.77295,713,987.810981
49.743375,455,990.456553
31.65025,305,991.467675
74.50965,399,992.720739
214.3549,527,1062.990933
2.928025,324,1063.929947
141.510575,438,1065.44353
165.67965,457,1066.797222
229.087375,555,1068.737401
1.575125,246,1138.930349
186.772525,479,1140.307106
225.642075,558,1142.056109
153.6329,424,1143.281309
147.59875,396,1144.54912
142.5982,453,1219.336218
231.1474,527,1221.088166
60.511025,334,1222.115548
90.19215,337,1223.119985
3.17475,281,1224.068251
38.96265,387,1296.234336
106.748775,362,1297.478783
93.49215,369,1298.559701
100.1472,393,1299.753356
145.004025,417,1301.061021
135.86795,403,1370.528152
