#{"t_start": 1760794307.222304, "env_id": "None"}
r,l,t
192.554025,464,1371.793313
198.487825,508,1373.177782
170.960325,443,1374.331334
160.525825,473,1375.602559
337.90795,698,1444.757372
176.270075,488,1446.458112
299.45225,640,1448.307936
118.015075,523,1449.865041
238.065025,557,1451.421818
215.786,615,1524.202503
169.1375,436,1525.729934
257.968025,617,1527.797506
154.4389,469,1529.267498
144.2944,474,1530.977347
4.82215,287,1604.049545
68.07375,351,1605.060368
204.1274,564,1606.868728
132.18265,407,1608.049038
36.5789,374,1609.466283
216.565075,508,1684.991055
135.449575,403,1686.059088
168.55115,439,1687.38087
220.660275,514,1689.029533
67.480025,337,1690.964675
38.378825,288,1764.041257
58.7695,311,1764.815987
34.8835,281,1765.497179
71.556625,311,1766.416914
50.862375,316,1767.358038
18.44975,250,1838.753742
49.03575,311,1839.639955
42.50325,286,1840.389343
71.260775,299,1841.227732
31.017275,279,1842.056037
166.178,421,1913.848671
17.3237,328,1914.681763
197.68325,485,1916.034222
62.9004,344,1916.949319
148.004075,418,1918.260461
45.236025,287,1993.962168
44.980625,296,1994.754153
61.76315,327,1995.821416
71.989525,339,1996.801164
24.7735,270,1997.644186
194.5814,477,2069.359732
103.507275,362,2070.499632
133.642375,470,2071.661056
134.63675,370,2072.676006
142.3589,432,2073.853194
161.848525,587,2150.032005
142.731,415,2151.30221
138.866025,587,2153.021638
106.867775,572,2154.558471
74.2244,509,2156.005424
98.441525,429,2260.66528
40.58765,442,2262.039768
25.063525,312,2262.920485
179.257125,420,2264.163521
99.0419,487,2265.588159
-13.89725,211,2340.538506
38.2574,354,2341.515312
-1.04885,242,2342.157984
274.676,621,2343.863317
-5.19825,245,2344.506593
120.44765,449,2425.175451
150.17595,423,2426.359886
47.13225,306,2427.144461
59.24975,320,2428.070421
145.527875,385,2429.101356
391.2475,901,2474.867703
383.25995,758,2477.101752
280.41675,616,2478.760601
216.82075,630,2480.480568
474.2849,977,2483.239943
82.251775,607,2565.473377
337.7425,911,2567.910023
143.8604,554,2570.085699
379.8925,945,2574.483179
141.812525,557,2576.275929
235.10145,598,2657.997275
393.57715,707,2660.500349
208.886,505,2662.223616
214.72725,626,2663.975201
187.528375,551,2665.466974
61.799375,356,2745.038627
70.636025,372,2745.825069
84.943875,390,2747.096887
82.3079,477,2748.0992
79.89095,383,2748.923075
31.894525,354,2796.511734
-3.309125,285,2797.244342
22.70945,363,2798.242576
13.026875,296,2799.009412
251.575525,727,2800.907011
41.26275,325,2851.737706
26.748775,422,2852.817482
151.032575,528,2854.193633
285.472,655,2856.052077
164.674325,438,2857.252088
237.290525,637,2928.049011
10.02165,322,2928.994212
236.578575,788,2932.087904
358.74175,1000,2935.70279
327.98665,937,2939.528532
283.360525,879,3009.324503
282.1145,681,3011.002133
183.687625,625,3013.512146
232.971775,699,3016.404434
258.511625,685,3019.154256
-9.69585,339,3107.368744
-4.738675,308,3108.235221
72.128625,465,3109.54589
262.83675,651,3111.529456
-1.48935,279,3112.292361
67.750275,359,3198.586679
48.79875,300,3199.87763
39.69165,287,3200.771781
109.20245,363,3201.778273
40.473,291,3202.829347
176.23795,508,3295.640693
575.46575,1000,3299.47542
213.132375,625,3301.445485
134.40845,528,3303.210809
26.5755,451,3304.617882
69.1587,388,3368.235703
52.1204,292,3369.273484
65.046025,337,3370.216748
77.247025,362,3371.294986
110.099525,357,3372.288195
254.547875,645,3490.835007
44.7574,314,3491.642939
123.79095,508,3493.009234
4.1429,282,3493.728713
152.483875,556,3495.25226
107.648625,370,3600.257231
29.1159,324,3601.231774
60.552025,347,3602.214561
56.1314,377,3603.143606
52.469525,427,3604.342703
45.3847,303,3686.41765
93.66415,367,3687.3578
86.1509,352,3688.302962
57.86165,307,3689.182734
33.608,290,3690.312675
37.30865,297,3787.51062
28.68465,299,3788.196982
91.251625,340,3789.117231
102.805,355,3790.064456
72.14975,335,3790.885771
60.959375,305,3886.917076
90.25315,337,3887.929744
77.354525,344,3888.909885
46.69165,289,3889.71277
55.69265,307,3890.719012
92.447375,355,4021.072864
31.58465,284,4022.269019
79.05465,329,4023.65183
31.975125,290,4024.803295
66.068275,337,4026.171863
58.1305,341,4123.962581
13.1037,253,4124.740954
42.8225,286,4125.535952
23.29815,267,4126.45526
43.0784,312,4127.398604
65.80925,310,4130.623193
51.78575,341,4131.661842
76.612025,329,4132.642692
46.1805,290,4133.42732
31.367025,272,4134.254419
56.173875,321,4135.104992
79.6299,337,4136.033884
62.257875,326,4136.957736
50.742525,319,4137.838377
67.65765,317,4138.888408
52.402275,294,4139.727337
41.2645,285,4140.619627
98.975875,356,4141.6574
48.094025,297,4142.643473
35.049875,280,4143.552107
71.32175,316,4144.554235
40.9077,303,4145.462656
34.79395,268,4146.323974
60.3654,304,4147.287901
54.261,305,4148.239981
125,1000,4039.015951
547.520625,1000,4044.398555
589.32,1000,4118.985754
